"IdCupSeason","NumOrder","CupName"
"2000010101","6506","Friendly"
"6","2520","FIFA World Cup™ Qualifier"
"7","1017","FIFA World Cup™ Final"
"197058","1512","Olympic Football Tournament Final"
"235949","3502","Continental Final"
"8","2520","FIFA World Cup™ Qualifier"
"9","1017","FIFA World Cup™ Final"
"235954","3502","Continental Final"
"235956","3502","Continental Final"
"236334","4504","Continental Qualifier"
"240554","2511","Olympic Football Tournament Quali 1908-1956"
"10","2520","FIFA World Cup™ Qualifier"
"236163","3502","Continental Final"
"197067","1512","Olympic Football Tournament Final"
"12","2520","FIFA World Cup™ Qualifier"
"236045","3502","Continental Final"
"13","2520","FIFA World Cup™ Qualifier"
"235960","3502","Continental Final"
"11","2520","FIFA World Cup™ Qualifier"
"14","2520","FIFA World Cup™ Qualifier"
"15","1017","FIFA World Cup™ Final"
"3123","4504","Continental Qualifier"
"235971","3502","Continental Final"
"236349","4504","Continental Qualifier"
"236049","3502","Continental Final"
"235970","3502","Continental Final"
"3122","3502","Continental Final"
"16","2520","FIFA World Cup™ Qualifier"
"19","2520","FIFA World Cup™ Qualifier"
"197075","1512","Olympic Football Tournament Final"
"236164","3502","Continental Final"
"20","2520","FIFA World Cup™ Qualifier"
"236449","4504","Continental Qualifier"
"7896","2520","FIFA World Cup™ Qualifier"
"21","1017","FIFA World Cup™ Final"
"3125","4504","Continental Qualifier"
"235972","3502","Continental Final"
"236320","3502","Continental Final"
"236454","4504","Continental Qualifier"
"236055","3502","Continental Final"
"252975","4504","Continental Qualifier"
"22","2520","FIFA World Cup™ Qualifier"
"236165","3502","Continental Final"
"3124","3502","Continental Final"
"197085","1512","Olympic Football Tournament Final"
"24","2520","FIFA World Cup™ Qualifier"
"236455","4504","Continental Qualifier"
"236327","3502","Continental Final"
"236542","4504","Continental Qualifier"
"23","2520","FIFA World Cup™ Qualifier"
"25","2520","FIFA World Cup™ Qualifier"
"236062","3502","Continental Final"
"26","1017","FIFA World Cup™ Final"
"3127","4504","Continental Qualifier"
"236515","4504","Continental Qualifier"
"235973","3502","Continental Final"
"236456","4504","Continental Qualifier"
"236547","4504","Continental Qualifier"
"236328","3502","Continental Final"
"236371","4504","Continental Qualifier"
"27","2520","FIFA World Cup™ Qualifier"
"236166","3502","Continental Final"
"3126","3502","Continental Final"
"29","2520","FIFA World Cup™ Qualifier"
"31","2520","FIFA World Cup™ Qualifier"
"197099","1512","Olympic Football Tournament Final"
"236466","4504","Continental Qualifier"
"28","2520","FIFA World Cup™ Qualifier"
"30","2520","FIFA World Cup™ Qualifier"
"236551","4504","Continental Qualifier"
"236329","3502","Continental Final"
"236077","3502","Continental Final"
"32","1017","FIFA World Cup™ Final"
"3129","4504","Continental Qualifier"
"236470","4504","Continental Qualifier"
"236376","4504","Continental Qualifier"
"236555","4504","Continental Qualifier"
"33","2520","FIFA World Cup™ Qualifier"
"236330","3502","Continental Final"
"236085","3502","Continental Final"
"38","2520","FIFA World Cup™ Qualifier"
"34","2520","FIFA World Cup™ Qualifier"
"236167","3502","Continental Final"
"3128","3502","Continental Final"
"197110","1512","Olympic Football Tournament Final"
"236259","3502","Continental Final"
"37","2520","FIFA World Cup™ Qualifier"
"35","2520","FIFA World Cup™ Qualifier"
"236474","4504","Continental Qualifier"
"36","2520","FIFA World Cup™ Qualifier"
"236107","3502","Continental Final"
"39","1017","FIFA World Cup™ Final"
"3131","4504","Continental Qualifier"
"236479","4504","Continental Qualifier"
"236393","4504","Continental Qualifier"
"235974","3502","Continental Final"
"236115","3502","Continental Final"
"43","2520","FIFA World Cup™ Qualifier"
"47","2520","FIFA World Cup™ Qualifier"
"40","2520","FIFA World Cup™ Qualifier"
"3130","3502","Continental Final"
"236177","3502","Continental Final"
"197121","1512","Olympic Football Tournament Final"
"236486","4504","Continental Qualifier"
"44","2520","FIFA World Cup™ Qualifier"
"41","2520","FIFA World Cup™ Qualifier"
"45","2520","FIFA World Cup™ Qualifier"
"46","2520","FIFA World Cup™ Qualifier"
"42","2520","FIFA World Cup™ Qualifier"
"236121","3502","Continental Final"
"3133","4504","Continental Qualifier"
"50","1017","FIFA World Cup™ Final"
"236417","4504","Continental Qualifier"
"236498","4504","Continental Qualifier"
"235982","3502","Continental Final"
"236266","3502","Continental Final"
"51","2520","FIFA World Cup™ Qualifier"
"58","2520","FIFA World Cup™ Qualifier"
"236129","3502","Continental Final"
"53","2520","FIFA World Cup™ Qualifier"
"3132","3502","Continental Final"
"197131","1512","Olympic Football Tournament Final"
"236505","4504","Continental Qualifier"
"236185","3502","Continental Final"
"54","2520","FIFA World Cup™ Qualifier"
"52","2520","FIFA World Cup™ Qualifier"
"236137","3502","Continental Final"
"3145","4504","Continental Qualifier"
"59","1017","FIFA World Cup™ Final"
"236609","4504","Continental Qualifier"
"3332","2513","Olympic Football Tournament Qualifier"
"3333","2513","Olympic Football Tournament Qualifier"
"3335","2513","Olympic Football Tournament Qualifier"
"3331","2513","Olympic Football Tournament Qualifier"
"235991","3502","Continental Final"
"3334","2513","Olympic Football Tournament Qualifier &gt;1956"
"3135","3502","Continental Final"
"60","2520","FIFA World Cup™ Qualifier"
"63","2520","FIFA World Cup™ Qualifier"
"65","2520","FIFA World Cup™ Qualifier"
"3144","3502","Continental Final"
"3330","1512","Olympic Football Tournament Final"
"3140","4504","Continental Qualifier"
"3169","4504","Continental Qualifier"
"3139","3502","Continental Final"
"64","2520","FIFA World Cup™ Qualifier"
"62","2520","FIFA World Cup™ Qualifier"
"66","2520","FIFA World Cup™ Qualifier"
"67","2520","FIFA World Cup™ Qualifier"
"3168","3502","Continental Final"
"68","1017","FIFA World Cup™ Final"
"3197","4504","Continental Qualifier"
"3206","4504","Continental Qualifier"
"3357","2513","Olympic Football Tournament Qualifier &gt;1956"
"3353","2513","Olympic Football Tournament Qualifier &gt;1956"
"3352","2513","Olympic Football Tournament Qualifier &gt;1956"
"3354","2513","Olympic Football Tournament Qualifier &gt;1956"
"3355","2513","Olympic Football Tournament Qualifier &gt;1956"
"3187","3502","Continental Final"
"3356","2513","Olympic Football Tournament Qualifier &gt;1956"
"3201","4504","Continental Qualifier"
"3196","3502","Continental Final"
"71","2520","FIFA World Cup™ Qualifier"
"69","2520","FIFA World Cup™ Qualifier"
"73","2520","FIFA World Cup™ Qualifier"
"3205","3502","Continental Final"
"3351","1512","Olympic Football Tournament Final"
"3229","4504","Continental Qualifier"
"74","2520","FIFA World Cup™ Qualifier"
"3200","3502","Continental Final"
"72","2520","FIFA World Cup™ Qualifier"
"70","2520","FIFA World Cup™ Qualifier"
"3220","3502","Continental Final"
"75","2520","FIFA World Cup™ Qualifier"
"3228","3502","Continental Final"
"3092","4504","Continental Qualifier"
"3098","4504","Continental Qualifier"
"76","1017","FIFA World Cup™ Final"
"3388","2513","Olympic Football Tournament Qualifier &gt;1956"
"3387","2513","Olympic Football Tournament Qualifier &gt;1956"
"3248","4504","Continental Qualifier"
"3245","4504","Continental Qualifier"
"3246","4504","Continental Qualifier"
"3247","4504","Continental Qualifier"
"3386","2513","Olympic Football Tournament Qualifier"
"3390","2513","Olympic Football Tournament Qualifier"
"3249","3502","Continental Final"
"3250","3502","Continental Final"
"3389","2513","Olympic Football Tournament Qualifier"
"79","2520","FIFA World Cup™ Qualifier"
"82","2520","FIFA World Cup™ Qualifier"
"3095","4504","Continental Qualifier"
"81","2520","FIFA World Cup™ Qualifier"
"3097","3502","Continental Final"
"3258","4504","Continental Qualifier"
"3385","1512","Olympic Football Tournament Final"
"78","2520","FIFA World Cup™ Qualifier"
"3094","3502","Continental Final"
"4297","1101","FIFA Confederations Cup"
"3255","4504","Continental Qualifier"
"3111","4504","Continental Qualifier"
"3121","4504","Continental Qualifier"
"77","2520","FIFA World Cup™ Qualifier"
"3110","4504","Continental Qualifier"
"3112","3502","Continental Final"
"80","2520","FIFA World Cup™ Qualifier"
"83","2520","FIFA World Cup™ Qualifier"
"3113","3502","Continental Final"
"3257","3502","Continental Final"
"3292","4504","Continental Qualifier"
"84","1017","FIFA World Cup™ Final"
"6525","4504","Continental Qualifier"
"3288","4504","Continental Qualifier"
"3423","2513","Olympic Football Tournament Qualifier &gt;1956"
"3419","2513","Olympic Football Tournament Qualifier"
"3284","4504","Continental Qualifier"
"3418","2513","Olympic Football Tournament Qualifier"
"3417","2513","Olympic Football Tournament Qualifier"
"3273","3502","Continental Final"
"3283","4504","Continental Qualifier"
"249570","4504","Continental Qualifier"
"3285","4504","Continental Qualifier"
"3295","3502","Continental Final"
"3287","3502","Continental Final"
"3290","4504","Continental Qualifier"
"3420","2513","Olympic Football Tournament Qualifier"
"892","2520","FIFA World Cup™ Qualifier"
"893","2520","FIFA World Cup™ Qualifier"
"896","2520","FIFA World Cup™ Qualifier"
"894","2520","FIFA World Cup™ Qualifier"
"3422","2513","Olympic Football Tournament Qualifier"
"3291","3502","Continental Final"
"197142","1512","Olympic Football Tournament Final"
"3312","4504","Continental Qualifier"
"895","2520","FIFA World Cup™ Qualifier"
"897","2520","FIFA World Cup™ Qualifier"
"3289","3502","Continental Final"
"3306","4504","Continental Qualifier"
"3309","4504","Continental Qualifier"
"3308","4504","Continental Qualifier"
"3301","3502","Continental Final"
"3305","4504","Continental Qualifier"
"8015","2520","FIFA World Cup™ Qualifier"
"3424","1101","FIFA Confederations Cup"
"3311","3502","Continental Final"
"3316","3502","Continental Final"
"1013","1017","FIFA World Cup™ Final"
"3328","4504","Continental Qualifier"
"3327","4504","Continental Qualifier"
"3318","3502","Continental Final"
"3319","4504","Continental Qualifier"
"3714","2513","Olympic Football Tournament Qualifier &gt;1956"
"3444","2513","Olympic Football Tournament Qualifier &gt;1956"
"3727","2513","Olympic Football Tournament Qualifier"
"5425","4504","Continental Qualifier"
"3325","4504","Continental Qualifier"
"3443","2513","Olympic Football Tournament Qualifier"
"3999","3502","Continental Final"
"5439","4504","Continental Qualifier"
"4356","1101","FIFA Confederations Cup"
"3801","4504","Continental Qualifier"
"5155","4504","Continental Qualifier"
"3737","2513","Olympic Football Tournament Qualifier"
"3704","2513","Olympic Football Tournament Qualifier"
"3778","3502","Continental Final"
"3789","3502","Continental Final"
"3881","2520","FIFA World Cup™ Qualifier"
"3889","2520","FIFA World Cup™ Qualifier"
"3868","2520","FIFA World Cup™ Qualifier"
"8225","4504","Continental Qualifier"
"3932","2513","Olympic Football Tournament Qualifier"
"3813","3502","Continental Final"
"3939","3502","Continental Final"
"3989","4504","Continental Qualifier"
"3835","2520","FIFA World Cup™ Qualifier"
"3945","1512","Olympic Football Tournament Final"
"3973","3502","Continental Final"
"3847","2520","FIFA World Cup™ Qualifier"
"4616","4504","Continental Qualifier"
"3863","2520","FIFA World Cup™ Qualifier"
"4515","1101","FIFA Confederations Cup"
"4775","4504","Continental Qualifier"
"4995","4504","Continental Qualifier"
"4476","3502","Continental Final"
"5528","4504","Continental Qualifier"
"5195","3502","Continental Final"
"8021","2520","FIFA World Cup™ Qualifier"
"8024","2520","FIFA World Cup™ Qualifier"
"5628","3502","Continental Final"
"5808","3502","Continental Final"
"6168","4504","Continental Qualifier"
"4395","1017","FIFA World Cup™ Final"
"6380","3502","Continental Final"
"6514","4504","Continental Qualifier"
"6396","4504","Continental Qualifier"
"6497","2513","Olympic Football Tournament Qualifier &gt;1956"
"6645","4504","Continental Qualifier"
"6765","2513","Olympic Football Tournament Qualifier &gt;1956"
"6643","4504","Continental Qualifier"
"7136","4504","Continental Qualifier"
"7021","2513","Olympic Football Tournament Qualifier"
"6489","1101","FIFA Confederations Cup"
"6644","3502","Continental Final"
"7302","2520","FIFA World Cup™ Qualifier"
"7402","2513","Olympic Football Tournament Qualifier"
"6958","3502","Continental Final"
"7381","2520","FIFA World Cup™ Qualifier"
"7861","2520","FIFA World Cup™ Qualifier"
"6660","3502","Continental Final"
"7761","2520","FIFA World Cup™ Qualifier"
"8063","2520","FIFA World Cup™ Qualifier"
"7351","3502","Continental Final"
"8352","3502","Continental Final"
"8548","3502","Continental Final"
"8071","2520","FIFA World Cup™ Qualifier"
"8229","1512","Olympic Football Tournament Final"
"9241","3502","Continental Final"
"9423","4504","Continental Qualifier"
"9601","4504","Continental Qualifier"
"8503","1101","FIFA Confederations Cup"
"9421","3502","Continental Final"
"8903","2520","FIFA World Cup™ Qualifier"
"8905","2520","FIFA World Cup™ Qualifier"
"10472","4504","Continental Qualifier"
"10092","3502","Continental Final"
"250358","2513","Olympic Football Tournament Qualifier"
"9741","1017","FIFA World Cup™ Final"
"247780","4504","Continental Qualifier"
"247868","4504","Continental Qualifier"
"248088","2513","Olympic Football Tournament Qualifier"
"248197","4504","Continental Qualifier"
"248590","2513","Olympic Football Tournament Qualifier"
"248873","4504","Continental Qualifier"
"10452","3502","Continental Final"
"249766","3502","Continental Final"
"10461","3502","Continental Final"
"250482","2520","FIFA World Cup™ Qualifier"
"250575","2513","Olympic Football Tournament Qualifier"
"250415","2520","FIFA World Cup™ Qualifier"
"250424","2520","FIFA World Cup™ Qualifier"
"250490","2520","FIFA World Cup™ Qualifier"
"249975","3502","Continental Final"
"250440","2520","FIFA World Cup™ Qualifier"
"251315","2513","Olympic Football Tournament Qualifier"
"251321","4504","Continental Qualifier"
"246327","3502","Continental Final"
"251997","4504","Continental Qualifier"
"250015","1512","Olympic Football Tournament Final"
"250470","2520","FIFA World Cup™ Qualifier"
"252735","4504","Continental Qualifier"
"250115","1101","FIFA Confederations Cup"
"252016","3502","Continental Final"
"250837","2520","FIFA World Cup™ Qualifier"
"250839","2520","FIFA World Cup™ Qualifier"
"249715","1017","FIFA World Cup™ Final"
"255125","4504","Continental Qualifier"
"255025","4504","Continental Qualifier"
"255525","4504","Continental Qualifier"
"255770","3502","Continental Final"
"257745","2520","FIFA World Cup™ Qualifier"
"257885","2520","FIFA World Cup™ Qualifier"
"253831","3502","Continental Final"
"257967","2520","FIFA World Cup™ Qualifier"
"257965","2520","FIFA World Cup™ Qualifier"
"257969","2520","FIFA World Cup™ Qualifier"
"255153","3502","Continental Final"
"259961","4504","Continental Qualifier"
"260455","4504","Continental Qualifier"
"249986","3502","Continental Final"
"256007","1512","Olympic Football Tournament Final"
"257971","2520","FIFA World Cup™ Qualifier"
"264071","4504","Continental Qualifier"
"258737","3502","Continental Final"
"265020","4504","Continental Qualifier"
"255197","1101","FIFA Confederations Cup"
"264104","3502","Continental Final"
"258312","2520","FIFA World Cup™ Qualifier"
"258314","2520","FIFA World Cup™ Qualifier"
"272110","4504","Continental Qualifier"
"265035","4504","Continental Qualifier"
"272841","4504","Continental Qualifier"
"251164","1017","FIFA World Cup™ Final"
"272297","4504","Continental Qualifier"
"272875","4504","Continental Qualifier"
"270532","3502","Continental Final"
"274823","2520","FIFA World Cup™ Qualifier"
"275159","2520","FIFA World Cup™ Qualifier"
"270538","3502","Continental Final"
"275790","4504","Continental Qualifier"
"270534","3502","Continental Final"
"276457","2520","FIFA World Cup™ Qualifier"
"276410","2520","FIFA World Cup™ Qualifier"
"276451","2520","FIFA World Cup™ Qualifier"
"276592","3502","Continental Final"
"277726","4504","Continental Qualifier"
"270536","3502","Continental Final"
"273911","3502","Continental Final"
"277952","4504","Continental Qualifier"
"272231","1512","Olympic Football Tournament Final"
"276481","2520","FIFA World Cup™ Qualifier"